nothing,id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code
0,405217,49,405217.jpg,Alfalfa Sprouts 50g,"[""405217.jpg"","""","""","""","""",]",24,22,10,1,1,23,0,0,1,50,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,5,4,1,0,[],0,0,11984,0
0,251150,49,251150.jpg,American Sweet Corn,"[""251150.jpg"",""251150-1.jpg"",""251150-2.jpg"",""251150-3.jpg"","" "",]",36,33,10,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,"Sweet Corn

Buy Fresh American Sweet Corn from sampurna-bazaar.com at the best price and get free shipping & Express delivery in north Bangalore.

About

Also called sweetcorn, sugar corn and pole corn is a variety of maize with high sugar content. Sweet corn is the result of a naturally occurring recessive mutation in the genes which control the conversion of sugar to starch inside the endosperm of the corn kernel.

Sweet corn is a variety of maize with high sugar content. Sweet corn is the result of a naturally occurring recessive mutation in the genes which control the conversion of sugar to starch inside the endosperm of the corn kernel

Nutritional info:

American Sweet Corn has,

Calories: 177 calories.
Carbs: 41 grams.
Protein: 5.4 grams.
Fat: 2.1 grams.
Fiber: 4.6 grams.
Vitamin C: 17% of the daily value (DV)
Thiamine (vitamin B1): 24% of the DV.
FolateÂ (vitamin B9): 19% of the DV.

Benefits:

sweet corn is very rich in vitamin B1, vitamin B5, vitamin C, phosphorus, manganese,Â folate,Â and dietaryÂ fiber. Because of theÂ vitaminsÂ contained in sweet corn, manyÂ health benefits can be associated with the consumption of this delicious vegetable.",,,20-12-2050,0,1,5,4,1,0,1000|500,1,0,6619|2|3,0
0,250543,49,250543.jpg,Amla,"[""250543.jpg"",""250543-1.jpg"",""250543-2.jpg"",""250543-3.jpg"","" "",]",143,130,10,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,"<h1 style=""text-align: center;"">Amla</h1>
<span style=""font-weight: 400;"">Buy Amla from </span><strong><a href=""https://sampurna-bazaar.com/"">sampurna-bazaar.com</a></strong><span style=""font-weight: 400;""> at the <strong>best price</strong> and get <strong>free shipping and  Express delivery</strong> in north Bangalore.</span>

<b>About</b>

The <a href=""https://sampurna-bazaar.com/product-category/pantry/fruits-vegetables/""><strong>Indian Gooseberry</strong></a>, or Amla, is a tangy seasonal fruit available during the winter months. It is a fruit with a peculiar mix of tastes, containing five of the six tastes from bitter, pungent, sweet to astringent and sour and is famous in India as a health and beauty aid. Popularly known as Amalki in Sanskrit (sustainer) or Dhatri (Nurse), this tiny fruit is a known powerhouse of goodness, packed with nutrients like proteins, carbohydrates, potassium, fiber, minerals, and vitamins

<b>Nutritional info:</b>

<span style=""font-weight: 400;"">Amla has,</span>
<ul class=""i8Z77e"">
 	<li class=""TrT0Xe"">Calories: 33.</li>
 	<li class=""TrT0Xe"">Protein: Less than 1 gram.</li>
 	<li class=""TrT0Xe"">Fat: Less than 1 gram.</li>
 	<li class=""TrT0Xe"">Carbohydrates: 8 grams.</li>
 	<li class=""TrT0Xe"">Fiber: 3 grams.</li>
 	<li class=""TrT0Xe"">Sugar: 0 grams</li>
</ul>
<b>Benefits:</b>

Amla is capable of aiding in building, repairing, and sustaining the human body. The high content of Vitamin C ensures effective synthesis of collagen, which improves the condition of hair, nails, teeth, and skin. Amla also has a positive effect on the digestive, excretory, respiratory, circulatory, reproductive, and nervous systems.
<p style=""text-align: right;""><strong>Buy <a href=""https://sampurna-bazaar.com/product/amla-500-g/"">Amla</a></strong></p>",,,20-12-2050,0,1,5,4,1,0,1000|500|250,1,0,6562|4|5,0
0,249926,49,249926.jpg,Apple Fuji,"[""249926.jpg"",""249926-1.jpg"",""249926-2.jpg"",""249926-3.jpg"","" "",]",275,250,10,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,"Another popular apple variety, known as the sweetest apple on the block! Fuji apples are crisp, crunch and fairly sweet.",,,20-12-2050,0,1,5,4,1,0,1000|500,1,0,6512|13|12|11|10|9|8|7|6,0
0,249944,49,249944.jpg,Apple Granny Smith,"[""249944.jpg"",""249944-1.jpg"",""249944-2.jpg"",""249944-3.jpg"","" "",]",264,240,10,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,"<h1 style=""text-align: center"">Apple Granny Smith</h1>
<span style=""font-weight: 400"">Buy Fresh Apple Granny Smith from</span><a href=""https://sampurna-bazaar.com/""><span style=""font-weight: 400""> sampurna-bazaar.com</span></a><span style=""font-weight: 400""> at the best price and get free shipping and  Express delivery in north Bangalore.</span>

<b>About</b>

<span style=""font-weight: 400""><a href=""https://sampurna-bazaar.com/product-category/pantry/fruits-vegetables/"">Apple</a> granny smith has lots of tangy and tart flavor and it contains less sugar than many other apples. Adding Granny Smith apples to your diet is one of the healthiest choices you can make. With a distinct tart flavor, Apple Granny Smith is the lower-sugar fruit, and they're loaded with fiber and phytonutrients that benefit your health.</span>

&nbsp;

<b>Nutritional info:</b>

<span style=""font-weight: 400"">Generally, an Apple granny smith contains 70 calories and 17 grams of carbohydrates. Each apple has about 3 grams of fiber and a diet rich in fiber supports healthy digestive health, fighting constipation and other digestive problems.</span>

&nbsp;

<b>Benefits:</b>

<span style=""font-weight: 400"">Eating apple helps to improve heart health, reduces the risk of developing cardiovascular</span> <span style=""font-weight: 400"">diseases, and consumption of Apple Granny Smith regularly reduces the chances of type 2 diabetes Granny Smith apples contain a compound called pectin, a fiber source that works as a prebiotic to promote the growth of healthy bacteria in your gut.Â </span>",,,20-12-2050,0,0,5,4,1,0,1000|500,1,0,6513|13|12|11|10|9|8|7|6,0
0,249951,49,249951.jpg,Apple Himachal,"[""249951.jpg"",""249951-1.jpg"",""249951-2.jpg"",""249951-3.jpg"","" "",]",253,230,10,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,"<h1 style=""text-align: center"">Apple Himachal</h1>
<span style=""font-weight: 400"">Buy Fresh Apple Himachal from </span><a href=""https://sampurna-bazaar.com/""><span style=""font-weight: 400"">sampurna-bazaar.com</span></a><span style=""font-weight: 400""> at the best price and get free shipping and  Express delivery in north Bangalore.</span>

<b>About</b>

After Jammu and  Kashmir,Â <b>Himachal</b>Â is the second-highestÂ <b>apple</b>-producing state in the country. More than two-thirds of the market is captured byÂ <b>apples</b>Â from Kashmir, whileÂ <b>Himachal apple</b>Â has a 20% share.Â <b>Apple</b>Â growers say this harvest season was one of the toughest seen.

<b>Nutritional info:</b>

Apples are one of the healthiest foods that a person can eat. They are high in fiber and vitamin C, so they have low in calories, no fat or cholesterol and have only a trace of sodium. Golden delicious apples are great in polyphenols, which work as antioxidants. All of these advantages mean that apples may decrease the effects of Alzheimer's Â and asthma disease while supporting with Â bone health, weight management, gastrointestinal protection and pulmonary function. These polyphenols are located in both the skin of the apples as well as in the meat, so to get the highest amount of benefits, eat the skin of the apple. Often called a ""nutritional powerhouse"" and ""miracle food"" an apple a day actually may keep the doctor away.

<b>Benefits:</b>

Himachal apple has a sufficient amount of fibre, due to which its juice helps to protect kidney, liver and digestive system from toxic substances. Fibres present in Himachal apple also remove the problem of constipation. As well as it helps to remove toxic substances from the body.",,,20-12-2050,0,0,5,4,1,0,1000|500,1,0,6514|13|12|11|10|9|8|7|6,0
0,249961,49,249961.jpg,Apple Royal Gala,"[""249961.jpg"",""249961-1.jpg"",""249961-2.jpg"",""249961-3.jpg"","" "",]",275,250,10,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,"<h1 style=""text-align: center"">Apple Royal Gala</h1>
<span style=""font-weight: 400"">Buy <a href=""https://sampurna-bazaar.com/product-category/pantry/fruits-vegetables/"">Fresh Apple</a> Royal Gala from </span><a href=""https://sampurna-bazaar.com/""><span style=""font-weight: 400"">sampurna-bazaar.com</span></a><span style=""font-weight: 400""> at the best price and get free shipping and  Express delivery in north Bangalore.</span>

<b>About</b>

<span style=""font-weight: 400"">Apple Royal Gala is also known as the King of Apples. </span><span style=""font-weight: 400"">Royal Gala apples were initially originated in the lands of New Zealand around 1934. Apple Royal Gala is a fibrous, sweet, aromatic, juicy, and sugary fruit and It comes with white flesh which is rich in sugar. Apple Royal Gala has a good ratio of fructose that offers a high dose of energy.</span>

Gala is a clonally propagated apple cultivar with a mild and sweet flavour. In 2018, it surpassed Red Delicious as the apple cultivar with the highest production in the United States, according to the US Apple Association.

<b>Nutritional info:</b>

<span style=""font-weight: 400"">Apple Royal Gala is rich in sugar and sweetness. Hence, it is always a better choice than</span>

<span style=""font-weight: 400"">sugary sodas, candy, or processed snacks. The presence of vitamin C in the apple royal gala is beneficial for the immune system and has the potential to produce collagen for healthy skin and wound healing. As carbohydrates are the primary source of energy and a large Gala apple contains almost 31gm of carbohydrates.</span>

<b>Benefits:</b>

<span style=""font-weight: 400"">Eating apple helps to improve heart health, reduces the risk of developing cardiovascular</span> <span style=""font-weight: 400"">diseases, and consumption of Apple Royal Gala regularly supports your immune system, contributes to your skin, blood vessels, bones, and organs, and reduces tiredness and fatigue. Daily intake of Royal Gala Apples can help to keep your blood pressure normal.</span>",,,20-12-2050,0,1,5,4,1,0,1000|500,1,0,6516|13|12|11|10|9|8|7|6,0
0,285818,49,285818.jpg,Apple Shimla,"[""285818.jpg"",""285818-1.jpg"",""285818-2.jpg"",""285818-3.jpg"","" "",]",270,245,10,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,"Shimla apples are commonly grown apples in India. They are one of the healthiest fruit. They are good source of vitamin c, dietary fiber, flavonoids and antioxidants. ... They can eaten as a fresh or used in fruit chat, salads, smoothies, pies etc.",,,20-12-2050,0,0,5,4,1,0,1000|500,1,0,7736|13|12|11|10|9|8|7|6,0
0,249963,49,249963.jpg,Apple Wash Red Delicious,"[""249963.jpg"",""249963-1.jpg"",""249963-2.jpg"",""249963-3.jpg"","" "",]",275,250,10,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,"<h1 style=""text-align: center"">Apple Wash Red Delicious</h1>
<b>About</b>

<span style=""font-weight: 400"">Apple Wash Red Delicious is mildly sweet in taste. </span><span style=""font-weight: 400"">The Wash Red Delicious Apple is one of the most popular apples in the United States. It comes with creamy yellow flesh which has many health benefits. Apple Wash Red Delicious is also known for its juicy and crisp taste.</span>

Red Delicious apples are bright to deep red in color, oftentimes speckled with faint white lenticels (spots). Its creamy white flesh is slightly crisp and dense offering a mildly sweet flavor and slightly flora aroma. Red Delicious apples offer a small amount of vitamin A and vitamin C and have only a trace of sodium.

&nbsp;

<b>Nutritional info:</b>

<span style=""font-weight: 400"">Apple Wash Red Delicious has,</span>
<ul>
 	<li style=""font-weight: 400""><span style=""font-weight: 400"">Calories: 130 KCal</span></li>
 	<li style=""font-weight: 400""><span style=""font-weight: 400"">Water: 98.73 g</span></li>
 	<li style=""font-weight: 400""><span style=""font-weight: 400"">Protein: 1 g</span></li>
 	<li style=""font-weight: 400""><span style=""font-weight: 400"">Fat: 0 g</span></li>
 	<li style=""font-weight: 400""><span style=""font-weight: 400"">Sugar: 25 g</span></li>
 	<li style=""font-weight: 400""><span style=""font-weight: 400"">Fiber: 5 g</span></li>
</ul>
<b>Benefits:</b>

<span style=""font-weight: 400"">Eating apple helps to improve heart health, reduces the risk of developing cardiovascular</span> <span style=""font-weight: 400"">diseases, and consumption of Apple Royal Gala regularly supports your immune system, contributes to your skin, blood vessels, bones, and organs, and reduces tiredness and fatigue. Daily intake of Royal Gala Apples can help to keep your blood pressure normal.</span>",,,20-12-2050,0,1,5,4,1,0,1000|500,1,0,6517|13|12|11|10|9|8|7|6,0
0,249953,49,249953.jpg,Apples Jammu-Kashmir,"[""249953.jpg"",""249953-1.jpg"",""249953-2.jpg"",""249953-3.jpg"","" "",]",290,264,10,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,"<h1 style=""text-align: center"">Apple Jammu Kashmir</h1>
<span style=""font-weight: 400"">Buy Fresh Apple Jammu Kashmir from </span><a href=""https://sampurna-bazaar.com/""><span style=""font-weight: 400"">sampurna-bazaar.com</span></a><span style=""font-weight: 400""> at the best price and get free shipping &amp; Express delivery in north Bangalore.</span>

<b>About</b>

Farmers inÂ <b>Jammu</b>Â have started growingÂ <b>apples</b> in large quantity.Â  This year, farmers of the tiny Latti village, which has a population of 7,000, have sold 20,000 metric tonnes of <b>apple</b>Â to traders inÂ <b>Jammu</b>, which has the biggest fruit market inÂ <b>Jammu &amp; Kashmir</b>. Traders from outside purchaseÂ <b>apples</b>Â from the market in bulk.

<b>Nutritional info:</b>
<ul class=""i8Z77e"">
 	<li class=""TrT0Xe"">Water 85.56g.</li>
 	<li class=""TrT0Xe"">Energy 52kcal.</li>
 	<li class=""TrT0Xe"">Protein 0.26g.</li>
 	<li class=""TrT0Xe"">Total lipid (fat) 0.17g.</li>
 	<li class=""TrT0Xe"">Carbohydrate, by difference 13.81g.</li>
 	<li class=""TrT0Xe""><b>Dietary</b>Â fibre 2.4g.</li>
 	<li class=""TrT0Xe"">Sugars 10.39g.</li>
 	<li class=""TrT0Xe"">Calcium 6mg.</li>
</ul>
<b>Benefits:</b>

Free radicals are reactive molecules that can build up as a result of natural processes and environmental pressures. If too many free radicals accumulate in the body, they can cause oxidative<span class=""keyword-mark"">Â stress</span>, and this can lead to cell damage. This damage can contribute to a range of conditions, including cancer and diabetes.",,,20-12-2050,0,0,5,4,1,0,1000|500,1,0,6515|13|12|11|10|9|8|7|6,0
